Word,Definition
Εὐμενής,"well-disposed, kindly"
Εὐσέβεια,patrons of
Φᾶσις,the river Phasis
Φαίνων,shiner
Φασιανός,from the river Phasis
Φεραί,Pherae
Φοῖνιξ,a Phoenician
Φοινικικός,Phoenician
Φωκεύς,a Phocian
Γίγας,mighty
Γλαῦκος,Glaucus.
Γοργολόφας,he of the Gorgon-crest
Κάστωρ,Castor
Καῖσαρ,elephant
Καινόν,the New Court
Καλλιστώ,most-beautiful
Καταγέλα,Gela
Κένταυρος,brigands
Κέρκωψ,man-monkey
Κήρ,the goddess of death
Κίρκη,Circe
Κλάριος,distributing by lot
Κλάριος,of
Κοίλη,"giblets of poultry,"
Κομπαστής,braggart
Κρείων,Creon.
Κρής,a Cretan
Κρητικός,in Cretan fashion
Κῦρος,the elder Cyrus
Κυάνεαι,Dark-rocks
Κώρυκος,spying out
Κῶς,to Cos
Κωπαίς,of
Λάμπος,bright
Λαέρτης,Laertes
Λακωνίζω,"imitate Lacedaemonian manners, dress"
Λίνος,the song
Λιβυρνικός,Liburnian;
Λύκιος,the Lycians
Λυδίζω,speak Lydian
Μάγνης,the magnet
Μάγος,one of the priests and wise men in Persia
Μάιος,of May
Μαγνῆτις,of Magnesia
Μαῖα,Maia
Μαιάς,Maia
Μέγαρα,to Megara
Μεγαρίζω,side with the Megarians
Μελπομένη,the Songstress
Μῆδος,"Mede, Median"
Μηδίς,Median woman
Μηδίζω,side with the Medes
Μορμώ,"she-monster, bogey"
Μούσειος,of
Μοῦσα,"music, song"
Μουσαγέτης,leader of the Muses
Μύσιος,a Mysian dirge
Μυσός,a prey to all
Ναιάς,"a Naiad, a river nymph"
Νηιάς,Naiad
Νηλεύς,"Neleus,"
Νότος,south wind
Ο᾿λυμπιάς,Olympian
Οἶον,"Oeum,"
Οἰόθεν,"from Oeum,"
Οὖτις,"Nobody, Noman"
Οὐρανία,the moon
Οὐρανιάς,celebration of] games
Πάν,Pan
Πάνειος,panic
Πάρις,Paris
Πάρος,"Paros,"
Πάτραι,Patras
Παίων,Paeonian
Παιάν,"physician, healer"
Παιήων,Paean
Παιώνια,a festival of Paeon
Παιώνιος,"belonging to Paeon, medicinal, healing"
Παιώνιος,"a healer, reliever"
Παλλάδιον,statue of Pallas
Πανεῖον,a temple of Pan
Πανικός,of
Παράλιον,a chapel of the hero Paralus
Πατρέες,citizens of Patras
Πέρσης,a throw on the dice
Πεδοστιβής,earth-treading
Πειθώ,Persuasion
Περσονόμος,ruling Persians
Περσονομέομαι,to be governed by the Persian laws
Πλαγκταί,Planctae
Πολιάς,"guardian of the city,"
Πολιεύς,"guardian of the city,"
Ποτνιάς,"of Potniae, Potnian,"
Ποτνιαί,"Potnian,"
Προμηθεύς,Prometheus
Πρωτεύς,Proteus
Πύλος,Pylos
Πυλαγόρας,delegate sent to the Amphictyonic Council at Pylae
Πυλαγόρης,one sent as a deputy to Pylae
Πυλαγορέω,to be a
Πυλεύς,"Janus Geminus,"
Πυθόκραντος,confirmed by the Pythian god
Πυθόμαντις,the Pythian prophet
Πυθόχρηστος,delivered by the Pythian god
Πυθοχρήστης,sent by the Pythian oracle
Θάσιος,of
Θήρα,"from Thera,"
Θρῖα,"at Thria,"
Θύμβρις,"the Tiber,"
Σάμη,Same
Σάμος,a height.
Σάτυρος,"lewd, goatish fellow"
Σεβάσμιος,"reverend, venerable, august"
Σειρήν,"Siren, deceitful woman"
Σφίγξ,rapacious
Σικυών,Sicyon
Σμύρνα,of Smyrna
Σπάρτη,from Sparta
Στρατωνίδης,Son of a Gun
Σύρα,a Syrian woman
Σύρος,a Syrian
Σύρος,"Syrian,"
Σῦρος,"a Syrian,"
Συρίζω,speak like a Syrian
Συρίζω,to speak like a Syrian
Τάφος,Taphos
Τελαμών,Telamon
Τιτανομαχία,battle of Titans
Τρίτων,"Triton,"
Τυφώς,"whirlwind, typhoon,"
Τυφῶν,"Typhon,"
Τυφωεύς,Typhoëus
Χάλυψ,one of the nation of the Chalybes
Χάρις,Graces
Χάρυβδις,Charybdis
Χαλκίς,Chalcis
Χείρων,"Cheiron,"
Χίμαιρα,Chimaera
Χίος,"Chios,"
Χῖος,"Chian, of"
Χῖος,of
Χλῶρις,Chloris
Χοάνη,a funnel
Χρύση,Chryse
Χρύσης,Chryses
Χῶρος,the North-west wind
Ζέφυρος,westerly wind
Ζεύς,dyaús
ἅβρα,"favourite slave,"
ἅδην,"to one's fill,"
ἅδος,"satiety, loathing"
ἅδος,decree
ἅγιος,devoted to the gods:
ἅλαδε,to
ἅλας,salt
ἅλιος,of the sea
ἅλιος,"fruitless, idle"
ἅλις,"in crowds, in plenty"
ἅλλομαι,sal-
ἅλμα,"spring, leap,"
ἅλμα,"sea water, salt water"
ἅλμη,"sea-water, brine,"
ἅλς,"salt,"
ἅλς,sea
ἅλσις,"leaping,"
ἅλυσις,"chain,"
ἅλων,plantation
ἅλως,"threshing-floor,"
ἅλωσις,"capture,"
ἅμα,"at once, at the same time,"
ἅμα,at the same time
ἅμης,"milk cake,"
ἅμιλλα,"contest for superiority, conflict,"
ἅμμα,anything tied
ἅπαξ,"once, once only, once for all,"
ἅπας,"sṃ-,"
ἅπτω,fasten
ἅρμα,"chariot,"
ἅρμοσις,"tuning,"
ἅρπαξ,"robbing, rapacious,"
ἅρπαγμα,"booty, prey,"
ἅρπαγος,"hook,"
ἅρπη,"bird of prey,"
ἅτε,"just as, as if, so as,"
ἅτερος,sṃ
ἅψις,"touching,"
ἅψος,"juncture, joint,"
ἅζομαι,"stand in awe of, esp. gods and one's parents"
ἁβρόγοος,"wailing womanishly,"
ἁβρός,"graceful, delicate, pretty,"
ἁβρότης,"splendour, luxury,"
ἁβρότιμος,"delicate and costly,"
ἁβροβάτης,softly
ἁβροδίαιτα,"luxurious living,"
ἁβροδίαιτος,"living delicately,"
ἁβροχίτων,"in soft tunic, softly clad,"
ἁβρύνω,"make delicate, treat delicately,"
ἁδρέω,"to be full-grown, matured"
ἁδρόομαι,grow stout
ἁδρός,"thick, stout, bulky"
ἁδρύνω,"ripen, mature"
ἁφάω,"to handle,"
ἁφή,"lighting, kindling,"
ἁγέομαι,"custom, prescription"
ἁγής,"guilty, accursed,"
ἁγίζω,"hallow, make sacred,"
ἁγνεία,"purity, chastity"
ἁγνεύω,"consider as part of purity, make it a point of religion"
ἁγνίζω,"wash off, cleanse away"
ἁγνόρυτος,pure-flowing
ἁγνός,"pure, chaste, holy"
ἁλάδρομος,race over the sea.
ἁλή,salt-works
ἁλής,"thronged, crowded, in a mass"
ἁλία,assembly of people
ἁλία,salt-cellar
ἁλίδονος,sea-tossed
ἁλίειος,fisher's
ἁλίπεδον,"plain by the sea, sandy plain"
ἁλίπλαγκτος,sea-roaming
ἁλίπλοος,covered with water
ἁλίρροθος,of the roaring sea
ἁλίρρυτος,"washed by the sea,"
ἁλίσκομαι,"to be taken, conquered, fall into an enemy's hand"
ἁλίστονος,sea-resounding
ἁλίτυπος,sea beaten
ἁλίζω,"gather together, assemble"
ἁλίζω,salt
ἁλιάδης,seaman
ἁλιάετος,sea-eagle
ἁλιάς,of
ἁλιεία,fishing
ἁλιεύς,one who has to do with the sea
ἁλιεύω,"fish,"
ἁλιευτικός,of
ἁλιμυρήεις,flowing into the sea
ἁλιμυρής,salt-surging
ἁλιόω,"make fruitless, disappoint"
ἁλιπόρφυρος,"of sea-purple, of true purple dye"
ἁλιτενής,projecting into the sea
ἁλμάω,"become mildewed,"
ἁλμήεις,"salt, briny,"
ἁλμυρίς,"anything salt,"
ἁλμυρός,"salt, briny,"
ἁλμυρόω,"make salt,"
ἁλουργής,wrought in
ἁλουργίς,"purple robe,"
ἁλτικός,"good at leaping,"
ἁλυκός,"salt,"
ἁλώνης,"contractor for salt-works,"
ἁλώσιμος,easy to take
ἁλωνεύομαι,"work on a threshing-floor,"
ἁμάξιτος,traversed by wagons
ἁμάρτημα,"failure, fault,"
ἁμαξεύς,"wagoner,"
ἁμαξήλατος,traversed by wagons:
ἁμαξήρης,of
ἁμαξίς,"little wagon,"
ἁμαξιτός,ibo
ἁμαξοπληθής,"large enough to fill a wagon,"
ἁμαξουργός,cartwrights'
ἁμαρτάνω,Acut. (Sp.)
ἁμαρτέω,"attend, accompany,"
ἁμαρτῆ,"together, at same time, at once,"
ἁμαρτία,"a failure, fault,"
ἁμαρτίνοος,"erring in mind, distraught,"
ἁμιλλάομαι,"compete, vie, contend,"
ἁμιλλητήριος,"of contest,"
ἁμός,"our, ours"
ἁμός,"sṃ-,"
ἁμοῦ,"somewhere,"
ἁνδάνω,"please, delight, gratify,"
ἁπαξάπας,all at once
ἁπαλός,"soft to the touch, tender"
ἁπανταχῆ,"everywhere,"
ἁπανταχόθεν,"from all sides,"
ἁπανταχοῦ,"everywhere,"
ἁπλόος,"twofold,"
ἁπλότης,"singleness,"
ἁπλόω,"make single, unfold, spread out,"
ἁπλῶς,"singly, in one way,"
ἁπτός,"tangible,"
ἁρμάμαξα,"covered carriage,"
ἁρμαλία,"fitting sustenance, allowance, food"
ἁρμαλιά,"sustenance allotted, food,"
ἁρματηλασία,"chariot-driving,"
ἁρματηλατέω,"go in a chariot, drive it,"
ἁρματόκτυπος,rattling
ἁρματοδρομέω,"race in a chariot,"
ἁρματοτροχιά,"wheel-track of a chariot,"
ἁρμή,"junction,"
ἁρμόδιος,"fitting together,"
ἁρμός,"joint,"
ἁρμόστωρ,"commander,"
ἁρμόζω,"fit together, join,"
ἁρμοῖ,"just, lately,"
ἁρμονία,"means of joining, fastening,"
ἁρμοστής,one who arranges
ἁρμοστός,"joined, adapted, well-fitted,"
ἁρπάξανδρος,"snatching away men,"
ἁρπάγδην,"hurriedly, violently,"
ἁρπάγη,a rake
ἁρπάγη,hook
ἁρπάζω,"snatch away, carry off,"
ἁρπαγή,"seizure, robbery, rape,"
ἁρπακτικός,"rapacious, thievish,"
ἁρπαλέος,"devouring, consuming,"
ἁρπαλίζω,"catch up, be eager to receive,"
ἁρπεδόνη,"cord,"
ἁψίς,"loop, mesh,"
ἁψιμαχέω,"skirmish with an enemy,"
ἁψιμαχία,"skirmishing,"
ἄατος,"insatiate,"
ἄβατος,"untrodden,"
ἄβλητος,not hit
ἄβολος,"that has not shed his foal-teeth,"
ἄβουλος,"inconsiderate, ill-advised,"
ἄβρομος,"joining in a shout,"
ἄβροχος,"unwetted, unmoistened,"
ἄβρωτος,"uneatable, not good for food,"
ἄβυσσος,"bottomless, unfathomed,"
ἄξενος,"inhospitable,"
ἄξιος,"counterbalancing,"
ἄξυλος,"with no timber cut from it,"
ἄξων,"axle,"
ἄδαιτος,of which none might eat
ἄδεια,freedom from fear
ἄδεια,"abundance, plenty"
ἄδειπνος,"without the evening meal, supperless"
ἄδετος,"unbound, loose"
ἄδηκτος,not gnawed
ἄδηλος,"unseen, invisible"
ἄδικος,"wrongdoing, unrighteous, unjust"
ἄδιψος,"not thirsty, not suffering from thirst"
ἄδμητος,unbroken
ἄδοξος,without
ἄδολος,"guileless, honest"
ἄδουλος,unattended by slaves
ἄδρεπτος,unplucked
ἄδυτον,the innermost sanctuary
ἄδυτος,not to be entered
ἄδωρος,"taking no gifts, incorruptible"
ἄελλα,"stormy wind, whirlwind"
ἄελπτος,"unhoped for, unexpected,"
ἄφαντος,"made invisible, blotted out,"
ἄφαρ,"straightway, forthwith,"
ἄφατος,not uttered
ἄφεξις,"abstinence,"
ἄφερκτος,"shut out from,"
ἄφερτος,"insufferable, intolerable,"
ἄφεσις,"letting go, release,"
ἄφετος,"let loose, ranging at large,"
ἄφημαι,sit apart
ἄφιξις,"arrival,"
ἄφιλος,"friendless,"
ἄφλαστον,curved poop of a ship
ἄφλεκτος,"unburnt, unconsumed by fire,"
ἄφνος,wealth
ἄφνω,"unawares, of a sudden,"
ἄφοβος,"without fear,"
ἄφοδος,"going away, departure,"
ἄφορμος,"moving off from, departing from,"
ἄφορος,"not bearing, barren,"
ἄφθα,"an infantile disease, thrush,"
ἄφθαρτος,"uncorrupted, undecaying,"
ἄφθεγκτος,"voiceless,"
ἄφθιτος,"not liable to perish, undecaying, imperishable,"
ἄφθογγος,"voiceless, speechless,"
ἄφθονος,without envy:
ἄφρα,"plaster,"
ἄφρακτος,"unfenced, unfortified, unguarded,"
ἄφραστος,"unutterable, marvellous,"
ἄφροντις,"free from care, careless,"
ἄφρων,"senseless,"
ἄφυκτος,"not to be shunned,"
ἄφυλλος,"leafless,"
ἄφυσος,"without flatulence,"
ἄφωνος,"voiceless, dumb,"
ἄγαλμα,"glory, delight, honour,"
ἄγαμαι,"wonder,"
ἄγαμος,"unmarried, single,"
ἄγαν,"very much,"
ἄγανος,"broken,"
ἄγε,come on!
ἄγευστος,not tasting
ἄγγαρος,mounted courier
ἄγγελος,"messenger, envoy"
ἄγγος,vessel
ἄγη,"wonder, amazement,"
ἄγημα,"anything led, division, corps"
ἄγκαθεν,"in the arms,"
ἄγκιστρον,"fish-hook,"
ἄγκοινα,"anything enfolding,"
ἄγκος,"bend, hollow:"
ἄγκυρα,"anchor,"
ἄγλις,clove
ἄγναμπτος,"unbending, inflexible, inexorable"
ἄγνοια,"want of perception, ignorance"
ἄγνος,chaste-tree
ἄγνυμι,"break, shiver"
ἄγνωστος,unknown
ἄγνωτος,ignorant
ἄγονος,unborn
ἄγοος,unmourned
ἄγος,any matter of religious awe
ἄγος,fragment
ἄγρα,"hunting, the chase"
ἄγραφος,unwritten
ἄγραυλος,dwelling in the field
ἄγρευμα,"that which is taken in hunting, prey"
ἄγρηθεν,from the chase
ἄγριος,"living in the fields, wild, savage."
ἄγροικος,dwelling in the fields
ἄγρυπνος,wakeful
ἄγρωστις,"dog's-tooth grass, Cynodon Dactylon"
ἄγω,"lead, carry, fetch, bring"
ἄγωνος,without angle
ἄγχαυρος,near the morning
ἄγχι,near
ἄγχιστος,nearest
ἄγχουσα,"alkanet, Anchusa tinctoria"
ἄγχω,squeeze
ἄημα,"blast, wind"
ἄημι,vā´ti
ἄητος,"stormy, furious"
ἄητος,insatiate
ἄηχος,without sound
ἄιδρις,"unknowing, ignorant"
ἄισος,"unlike, unequal"
ἄιστος,"not to be seen, unseen"
ἄκαινα,"spike, prick, goad"
ἄκαιρος,"ill-timed, unseasonable"
ἄκακος,"unknowing of ill, guileless"
ἄκαμπτος,"unbent, rigid"
ἄκανθα,"thorn, prickle"
ἄκανθος,"bearsfoot, Acanthus mollis"
ἄκαρπος,"without fruit, barren"
ἄκατος,"light vessel, boat"
ἄκεντρος,"without sting, stingless"
ἄκερχνος,without hoarseness
ἄκεσις,"healing, cure"
ἄκεσμα,remedy
ἄκικυς,"powerless, feeble"
ἄκλαυστος,unlamented
ἄκλειστος,not closed
ἄκληρος,without lot
ἄκλητος,"uncalled, unbidden"
ἄκλυστος,free from inundation
ἄκμηνος,fasting
ἄκμηνος,fasting from
ἄκμητος,unwearied
ἄκμων,"meteoric stone, thunderbolt"
ἄκνηστις,spine
ἄκνισος,without fat of sacrifices
ἄκοιτις,"a spouse, wife"
ἄκομπος,not boasting
ἄκοπος,unwearied
ἄκορον,"yellow flag, Iris Pseudacorus"
ἄκορος,"untiring, ceaseless"
ἄκος,"cure, remedy"
ἄκοσμος,disorderly
ἄκουσις,hearing
ἄκουσμα,thing heard
ἄκρα,highest
ἄκραντος,"unfulfilled, fruitless, idle"
ἄκρατος,"unmixed, neat"
ἄκρις,"hill-top, mountain peak"
ἄκρις,mountain  - top
ἄκριτος,"undistinguishable, confused"
ἄκρον,highest
ἄκρος,at the farthest point
ἄκρυπτος,unhidden
ἄκτινος,of elder-wood
ἄκτιος,of the sea-shore
ἄκτωρ,leader
ἄκυμος,tranquil
ἄκυρος,without authority
ἄκων,"javelin, dart"
ἄλαλκε,"ward, keep off"
ἄλαστος,not to be forgotten. insufferable
ἄλειφαρ,"unguent, anointing-oil, oil, fat"
ἄλειμμα,"anything used for anointing, unguent"
ἄλειψις,anointing
ἄλεκτρος,unwedded
ἄλευρον,wheat-meal
ἄλφα,"-square,"
ἄλφιτον,"barley-groats,"
ἄλγημα,pain felt
ἄλγησις,sense of pain
ἄλγος,pain
ἄλη,wandering
ἄληκτος,unceasing
ἄληκτος,fine meal
ἄληπτος,"not to be laid hold of, hard to catch"
ἄλητον,meal
ἄλκαρ,"safeguard, defence"
ἄλκη,elk
ἄλκιμος,"stout, brave"
ἄλληκτος,"unceasing, ceaseless"
ἄλλῃ,"in another place, elsewhere"
ἄλλοθεν,from another place
ἄλλοθι,"elsewhere, in another place"
ἄλλος,y
ἄλλος,"other, another"
ἄλλοτε,at another time
ἄλλυδις,"elsewhither,"
ἄλλως,"otherwise,"
ἄλοβος,"with lobe wanting,"
ἄλοξ,a furrow
ἄλογος,without
ἄλοπος,"not scutched,"
ἄλουτος,"unwashen,"
ἄλοχος,"partner of one's bed, wife,"
ἄλθεξις,"healing, cure"
ἄλσις,"growth,"
ἄλσος,"grove,"
ἄλυξις,"escape,"
ἄλυπος,"without pain,"
ἄλυς,"agitation,"
ἄλυτος,not to be loosed
ἄμαξα,"frame-work, 'châssis'"
ἄμαθος,sandy soil
ἄμαχος,without battle:
ἄμβλωσις,"abortion,"
ἄμβροτος,"immortal, divine,"
ἄμειψις,"exchange, interchange,"
ἄμεμπτος,"blameless, without reproach,"
ἄμετρος,without
ἄμφαδος,"discovered, known"
ἄμφω,"both,"
ἄμη,"shovel,"
ἄμης,milk-cake
ἄμητος,"a reaping, harvesting"
ἄμικτος,"unmingled, that will not mingle,"
ἄμισθος,without hire
ἄμμος,"sand,"
ἄμοιρος,without lot
ἄμομφος,blameless
ἄμορφος,"misshapen, unsightly,"
ἄμοτον,"insatiably, incessantly,"
ἄμοτος,"raging, savage"
ἄμουσος,"without song,"
ἄμπελος,"grape-vine, Vitis vinifera"
ἄμπυξ,"woman's diadem, frontlet,"
ἄμπωτις,"being sucked back,"
ἄμυξις,"tearing, rending, mangling,"
ἄμυδις,"together, at the same time,"
ἄμυγμα,"scratching, tearing,"
ἄμυλος,not ground at the mill:
ἄμυστις,"long draught,"
ἄμωμον,"Nepaul cardamom, Amomum subulatum,"
ἄμωμος,"blameless,"
ἄν,"he came,"
ἄνα,"king,"
ἄναξ,"lord, master,"
ἄναξις,"bringing up, raising up,"
ἄναγνος,"unclean, unholy, defiled,"
ἄναιμος,"bloodless,"
ἄναλκις,"without strength, impotent, feeble,"
ἄναλος,"without salt, not salted,"
ἄνανδρος,"husbandless,"
ἄναπτος,"not to be touched, impalpable,"
ἄναρκτος,not governed
ἄναρθρος,not differentiated
ἄναρχος,without head
ἄνασσα,"queen, lady,"
ἄνατος,"unharmed,"
ἄναυδος,"speechless,"
ἄναυς,that are ships no more.
ἄνδιχα,"asunder, in twain,"
ἄνειμι,"go up,"
ἄνεμος,"wind,"
ἄνεσις,"loosening, relaxing,"
ἄνετος,"relaxed, slack,"
ἄνευ,"without,"
ἄνευθε,"without,"
ἄνευρος,"without sinews,"
ἄνεω,to cry
ἄνη,"fulfilment,"
ἄνηβος,"not yet come to man's estate,"
ἄνηθον,"dill, Anethum graveolens,"
ἄνιππος,"without horse, not serving on horseback,"
ἄνιπτος,"unwashen,"
ἄνισος,"unequal, uneven,"
ἄνοδος,having no way
ἄνοδος,"way up,"
ἄνοια,the character of an
ἄνοιξις,"opening,"
ἄνοικτος,"pitiless, ruthless"
ἄνοικτος,"pitiless, ruthless,"
ἄνοισις,"bringing back,"
ἄνοιστος,referred
ἄνολβος,"unblest, wretched, luckless,"
ἄνομος,"lawless, impious,"
ἄνοος,"without understanding, silly,"
ἄνοπλος,without the
ἄνοσμος,"without smell,"
ἄνοσος,"without sickness, healthy, sound,"
ἄνοχον,"evacuation of the bowels,"
ἄνθεμον,"flowers,"
ἄνθη,full bloom
ἄνθινος,of
ἄνθιον,"spring,"
ἄνθος,"blossom, flower,"
ἄνθος,"bird,"
ἄνθραξ,"charcoal,"
ἄνθρωπος,"man,"
ἄντα,"over against, face to face,"
ἄντη,prayer
ἄντην,"against, over against,"
ἄντικρυς,"straight on, right on,"
ἄντλησις,drawing up
ἄντλος,"hold of a ship,"
ἄντομαι,"meet,"
ἄντρον,"cave,"
ἄνυδρος,"waterless,"
ἄνυσις,"accomplishment,"
ἄνω,"accomplish, finish,"
ἄνω,"upwards,"
ἄνωγα,"command, order,"
ἄνωθεν,"from above, from on high,"
ἄοικος,"houseless, homeless,"
ἄοινος,"without wine,"
ἄοκνος,"without hesitation, resolute,"
ἄοπλος,without heavy armour on
ἄοζος,"servant, attendant,"
ἄπαξις,"arrest,"
ἄπαγε,away! begone!
ἄπαις,"childless,"
ἄπαππος,with no grandfather
ἄπαρνος,"denying utterly,"
ἄπαστος,"not having eaten, abstaining from food, fasting,"
ἄπατος,"immune from punishment,"
ἄπαυστος,"unceasing, never-ending,"
ἄπεδος,"level, flat,"
ἄπειμι,sum
ἄπειμι,ibo
ἄπειρος,without trial
ἄπειρος,"boundless, infinite,"
ἄπεπτος,"uncooked: undigested,"
ἄπηρος,"unmaimed,"
ἄπιον,"pear,"
ἄπιος,"pear-tree, Pyrus communis,"
ἄπιος,"far away, far off, distant,"
ἄπιστος,"not to be trusted,"
ἄπλαστος,"not capable of being moulded,"
ἄπλατος,"unapproachable,"
ἄπλετος,"boundless, immense,"
ἄπληστος,"insatiate, greedy,"
ἄπλητος,"great,"
ἄπλοια,"impossibility of sailing, detention in port,"
ἄπλοος,"unseaworthy,"
ἄπλυτος,"unwashen, unwashed,"
ἄπλωτος,"not navigated, not navigable,"
ἄπνοια,"freedom from wind,"
ἄπνοος,"without wind, with but little air,"
ἄποδος,"not having the use of one's feet, Tab. Defix. Aud."
ἄποικος,"away from home, abroad,"
ἄποινα,ransom
ἄποιος,without quality
ἄπολις,"without city, state"
ἄπολος,"immouable,"
ἄπονος,without toil
ἄποπτος,seen
ἄποθεν,from afar
ἄπορος,"without passage, having no way in, out,"
ἄποτμος,"unhappy, ill-starred,"
ἄποτος,"not drinkable,"
ἄπους,without foot
ἄπρακτος,"unavailing, unprofitable,"
ἄπρατος,"on, unsold, unsaleable,"
ἄπριστος,"not to be sawed,"
ἄπροικος,without portion
ἄπταιστος,"not stumbling,"
ἄπτερος,"without wings, unwinged,"
ἄπυος,"not suppurating,"
ἄπυρος,"without fire,"
ἄπωθεν,from afar
ἄθαπτος,unburied
ἄθελκτος,implacable
ἄθεμις,lawless
ἄθεος,"without God, denying the gods"
ἄθεος,without vision
ἄθερμος,without warmth
ἄθετος,without position
ἄθηλος,unsuckled
ἄθηλυς,unfeminine
ἄθηρος,without wild beasts
ἄθικτος,untouched
ἄθλησις,"contest, combat"
ἄθλιος,winning the prize
ἄθραυστος,unbroken
ἄθρεπτος,"ill-nourished, underfed"
ἄθροισις,"gathering, collecting"
ἄθυμος,"fainthearted, spiritless"
ἄθυρμα,"plaything, toy"
ἄθυρος,withoutdoor
ἄθυτος,not offered
ἄρα,i[rtilde]
ἄραβος,gnashing
ἄρδην,"lifted up on high,"
ἄρδις,"point of an arrow,"
ἄρδω,water
ἄρειος,"devoted to Ares, warlike, martial"
ἄρεσκος,"pleasing,"
ἄργυρος,"white metal,"
ἄρηξις,"help, succour,"
